Date [UTC], Time [UTC], Illuminance [lux], Temperature [°C], Humidity [%], CO2 [ppm], TVOC [ppb], Latitude [°], Longitude [°], Satellites [-], Speed [m/s], Altitude [m], Roll [°], Pitch [°], Heading [°], Wind speed [m/s], Wind angle [°], Wind temp. [°C]
2023-03-30, 11:39:55.177, 516.36, 15.47, 50.31, 400, 3089, 46.52101898, 6.56327200, 9, 0.01, 436.6, 0.5, -1.0, 1.6, 0.4, 55, 16
2023-03-30, 11:39:56.281, 525.99, 15.48, 50.29, 400, 3113, 46.52101898, 6.56327200, 9, 0.09, 436.7, 0.4, -1.1, 1.5, 0.3, 71, 16
2023-03-30, 11:39:57.386, 527.46, 15.44, 50.30, 400, 3075, 46.52101898, 6.56327009, 9, 0.07, 436.7, 0.6, -1.0, 2.0, 0.5, 69, 16
2023-03-30, 11:39:58.493, 531.54, 15.49, 50.26, 400, 3055, 46.52101898, 6.56326818, 9, 0.08, 436.7, 0.4, -1.0, 2.1, 0.5, 82, 16
2023-03-30, 11:39:59.598, 528.93, 15.48, 50.29, 400, 3037, 46.52103043, 6.56327009, 9, 0.06, 436.7, 0.5, -1.1, 2.1, 0.4, 81, 16
2023-03-30, 11:40:00.705, 530.40, 15.47, 50.23, 400, 3057, 46.52103043, 6.56326675, 9, 0.20, 436.7, 0.5, -1.2, 1.8, 0.5, 77, 16
2023-03-30, 11:40:01.810, 534.48, 15.47, 50.29, 400, 3045, 46.52103043, 6.56326485, 9, 0.06, 436.8, 0.4, -1.1, 2.3, 0.5, 76, 16
2023-03-30, 11:40:02.916, 531.87, 15.47, 50.23, 400, 3075, 46.52103043, 6.56326485, 9, 0.04, 436.8, 0.5, -1.0, 1.9, 0.4, 63, 16
2023-03-30, 11:40:04.024, 540.03, 15.48, 50.27, 400, 3043, 46.52103043, 6.56326294, 9, 0.04, 436.8, 0.6, -1.0, 1.8, 0.4, 89, 16
2023-03-30, 11:40:05.130, 537.42, 15.48, 50.25, 400, 3010, 46.52103043, 6.56326294, 9, 0.22, 436.8, 0.6, -1.0, 1.8, 0.4, 89, 16
2023-03-30, 11:40:06.237, 538.89, 15.48, 50.21, 400, 2994, 46.52103043, 6.56326294, 9, 0.40, 436.9, 0.4, -0.9, 1.9, 0.3, 80, 16
2023-03-30, 11:40:07.342, 542.97, 15.47, 50.22, 400, 2980, 46.52101898, 6.56326294, 9, 0.17, 436.9, 0.6, -1.0, 1.9, 0.5, 63, 16
2023-03-30, 11:40:08.449, 551.13, 15.47, 50.22, 400, 2998, 46.52101898, 6.56326199, 9, 0.13, 437.0, 0.4, -1.1, 1.8, 0.7, 69, 16
2023-03-30, 11:40:09.553, 548.52, 15.48, 50.24, 400, 2992, 46.52101135, 6.56326199, 9, 0.16, 437.0, 0.4, -1.3, 2.0, 0.5, 44, 16
2023-03-30, 11:40:10.659, 549.98, 15.48, 50.20, 400, 2962, 46.52101135, 6.56326008, 9, 0.11, 437.0, 0.5, -1.0, 1.6, 0.5, 28, 16
2023-03-30, 11:40:11.765, 558.14, 15.49, 50.17, 400, 2958, 46.52101135, 6.56326199, 9, 0.02, 437.1, 0.3, -1.1, 2.2, 0.9, 38, 16
2023-03-30, 11:40:12.869, 555.53, 15.48, 50.16, 400, 3004, 46.52101135, 6.56326199, 9, 0.05, 437.1, 0.5, -1.1, 1.8, 1.2, 54, 16
2023-03-30, 11:40:13.975, 563.69, 15.48, 50.17, 400, 3047, 46.52101135, 6.56326199, 9, 0.03, 437.1, 0.5, -1.1, 2.2, 1.0, 17, 16
2023-03-30, 11:40:15.084, 561.08, 15.48, 50.17, 400, 2970, 46.52101135, 6.56326199, 9, 0.31, 437.1, 0.5, -1.4, 2.0, 0.8, 9, 16
2023-03-30, 11:40:16.189, 562.55, 15.48, 50.16, 400, 2920, 46.52100372, 6.56325674, 9, 0.62, 437.1, 0.5, -1.2, 2.1, 0.6, 300, 16
2023-03-30, 11:40:17.295, 566.63, 15.48, 50.15, 400, 2920, 46.52100372, 6.56325769, 9, 0.08, 437.2, 0.4, -1.2, 1.6, 0.7, 289, 16
2023-03-30, 11:40:18.402, 568.10, 15.47, 50.12, 400, 2944, 46.52100372, 6.56325769, 9, 0.12, 437.2, 0.5, -1.2, 2.5, 0.7, 279, 16
2023-03-30, 11:40:19.509, 572.18, 15.47, 50.18, 400, 2958, 46.52100372, 6.56325483, 9, 0.13, 437.3, 0.4, -1.0, 2.1, 0.8, 331, 16
2023-03-30, 11:40:20.616, 573.65, 15.45, 50.14, 400, 2930, 46.52100372, 6.56325388, 9, 0.15, 437.3, 0.7, -1.3, 1.7, 0.6, 325, 16
2023-03-30, 11:40:21.721, 577.73, 15.47, 50.13, 400, 2954, 46.52100372, 6.56325483, 9, 0.08, 437.3, 0.6, -0.9, 2.1, 0.7, 5, 16
2023-03-30, 11:40:22.826, 579.20, 15.47, 50.14, 400, 2996, 46.52100372, 6.56325483, 9, 0.23, 437.3, 0.5, -1.3, 2.0, 0.7, 0, 16
2023-03-30, 11:40:23.932, 576.59, 15.47, 50.16, 400, 2938, 46.52100372, 6.56325150, 9, 0.10, 437.3, 0.4, -1.2, 1.7, 0.9, 12, 16
2023-03-30, 11:40:25.035, 584.75, 15.47, 50.09, 400, 2930, 46.52100372, 6.56324959, 9, 0.09, 437.4, 0.5, -1.1, 1.5, 1.1, 17, 16
